diameter,x_center,Re,Cd,blockage_ratio,flow_regime,U_inlet
0.099868,1.103366,9.99,1.53735,0.049934,0,
0.099868,1.315086,9.99,1.52938,0.049934,0,
0.099868,1.209432,9.99,1.49884,0.049934,0,
0.099868,1.420821,9.99,1.49569,0.049934,0,
0.099868,1.527817,9.99,1.52538,0.049934,0,
0.099868,1.000589,9.99,1.50819,0.049934,0,
0.099868,1.629998,9.99,1.52239,0.049934,0,
0.099868,2.053198,9.99,1.52123,0.049934,0,
0.099868,1.944981,9.99,1.49168,0.049934,0,
0.099868,2.156161,9.99,1.48454,0.049934,0,
0.099868,1.842592,9.99,1.51942,0.049934,0,
0.099868,1.736917,9.99,1.48661,0.049934,0,
0.099868,2.260869,9.99,1.48439,0.049934,0,
0.099868,2.370784,9.99,1.49004,0.049934,0,
0.099868,2.476135,9.99,1.48363,0.049934,0,
0.099868,2.683182,9.99,1.48884,0.049934,0,
0.099868,2.580571,9.99,1.4844,0.049934,0,
0.099868,2.787356,9.99,1.48459,0.049934,0,
0.099868,2.895706,9.99,1.48994,0.049934,0,
0.099868,2.999685,9.99,1.48562,0.049934,0,
0.121527,1.209432,12.15,1.46196,0.0607635,0,
0.121527,1.000589,12.15,1.45994,0.0607635,0,
0.121527,1.103366,12.15,1.47109,0.0607635,0,
0.121527,1.315086,12.15,1.46054,0.0607635,0,
0.121527,1.420821,12.15,1.45526,0.0607635,0,
0.121527,1.527817,12.15,1.45658,0.0607635,0,
0.121527,1.629998,12.15,1.44204,0.0607635,0,
0.121527,1.736917,12.15,1.43598,0.0607635,0,
0.121527,1.842592,12.15,1.43888,0.0607635,0,
0.121527,1.944981,12.15,1.43252,0.0607635,0,
0.121527,2.053198,12.15,1.45273,0.0607635,0,
0.121527,2.156161,12.15,1.436,0.0607635,0,
0.121527,2.370784,12.15,1.44871,0.0607635,0,
0.121527,2.260869,12.15,1.43123,0.0607635,0,
0.121527,2.476135,12.15,1.42938,0.0607635,0,
0.121527,2.580571,12.15,1.43692,0.0607635,0,
0.121527,2.683182,12.15,1.43159,0.0607635,0,
0.121527,2.787356,12.15,1.43358,0.0607635,0,
0.121527,2.895706,12.15,1.4306,0.0607635,0,
0.121527,2.999685,12.15,1.4341,0.0607635,0,
0.142349,1.000589,14.23,1.44011,0.0711745,0,
0.142349,1.103366,14.23,1.42257,0.0711745,0,
0.142349,1.209432,14.23,1.42048,0.0711745,0,
0.142349,1.527817,14.23,1.40829,0.0711745,0,
0.142349,1.315086,14.23,1.41543,0.0711745,0,
0.142349,1.420821,14.23,1.4141,0.0711745,0,
0.142349,1.629998,14.23,1.40244,0.0711745,0,
0.142349,1.736917,14.23,1.41407,0.0711745,0,
0.142349,1.842592,14.23,1.40105,0.0711745,0,
0.142349,2.053198,14.23,1.40212,0.0711745,0,
0.142349,2.156161,14.23,1.39681,0.0711745,0,
0.142349,1.944981,14.23,1.40983,0.0711745,0,
0.142349,2.260869,14.23,1.40612,0.0711745,0,
0.142349,2.370784,14.23,1.40687,0.0711745,0,
0.142349,2.476135,14.23,1.408,0.0711745,0,
0.142349,2.580571,14.23,1.39745,0.0711745,0,
0.142349,2.683182,14.23,1.40581,0.0711745,0,
0.142349,2.787356,14.23,1.40575,0.0711745,0,
0.142349,2.895706,14.23,1.408,0.0711745,0,
0.142349,2.999685,14.23,1.40632,0.0711745,0,
0.163262,1.000589,16.33,1.43363,0.081631,0,
0.163262,1.315086,16.33,1.39876,0.081631,0,
0.163262,1.209432,16.33,1.40868,0.081631,0,
0.163262,1.103366,16.33,1.41255,0.081631,0,
0.163262,1.420821,16.33,1.398,0.081631,0,
0.163262,1.527817,16.33,1.39402,0.081631,0,
0.163262,1.629998,16.33,1.38854,0.081631,0,
0.163262,1.736917,16.33,1.40285,0.081631,0,
0.163262,1.944981,16.33,1.39199,0.081631,0,
0.163262,1.842592,16.33,1.38594,0.081631,0,
0.163262,2.053198,16.33,1.38938,0.081631,0,
0.163262,2.156161,16.33,1.38519,0.081631,0,
0.163262,2.260869,16.33,1.40137,0.081631,0,
0.163262,2.370784,16.33,1.38984,0.081631,0,
0.163262,2.580571,16.33,1.38375,0.081631,0,
0.163262,2.683182,16.33,1.39147,0.081631,0,
0.163262,2.476135,16.33,1.39803,0.081631,0,
0.163262,2.787356,16.33,1.38988,0.081631,0,
0.163262,2.895706,16.33,1.38988,0.081631,0,
0.163262,2.999685,16.33,1.40097,0.081631,0,
0.183848,1.000589,18.38,1.41451,0.091924,0,
0.183848,1.315086,18.38,1.38833,0.091924,0,
0.183848,1.103366,18.38,1.40235,0.091924,0,
0.183848,1.209432,18.38,1.39791,0.091924,0,
0.183848,1.420821,18.38,1.38627,0.091924,0,
0.183848,1.527817,18.38,1.38278,0.091924,0,
0.183848,1.629998,18.38,1.3756,0.091924,0,
0.183848,1.842592,18.38,1.37257,0.091924,0,
0.183848,1.944981,18.38,1.37835,0.091924,0,
0.183848,1.736917,18.38,1.37902,0.091924,0,
0.183848,2.053198,18.38,1.37661,0.091924,0,
0.183848,2.156161,18.38,1.37675,0.091924,0,
0.183848,2.260869,18.38,1.38095,0.091924,0,
0.183848,2.370784,18.38,1.37723,0.091924,0,
0.183848,2.476135,18.38,1.37556,0.091924,0,
0.183848,2.580571,18.38,1.3765,0.091924,0,
0.183848,2.683182,18.38,1.37482,0.091924,0,
0.183848,2.787356,18.38,1.37566,0.091924,0,
0.183848,2.895706,18.38,1.3762,0.091924,0,
0.183848,2.999685,18.38,1.37666,0.091924,0,
0.204901,1.000589,20.49,1.40578,0.1024505,0,
0.204901,1.103366,20.49,1.39158,0.1024505,0,
0.204901,1.209432,20.49,1.38323,0.1024505,0,
0.204901,1.315086,20.49,1.37755,0.1024505,0,
0.204901,1.527817,20.49,1.36879,0.1024505,0,
0.204901,1.420821,20.49,1.37774,0.1024505,0,
0.204901,1.629998,20.49,1.3764,0.1024505,0,
0.204901,1.736917,20.49,1.36783,0.1024505,0,
0.204901,1.842592,20.49,1.37206,0.1024505,0,
0.204901,1.944981,20.49,1.36665,0.1024505,0,
0.204901,2.053198,20.49,1.362,0.1024505,0,
0.204901,2.156161,20.49,1.3658,0.1024505,0,
0.204901,2.260869,20.49,1.36216,0.1024505,0,
0.204901,2.370784,20.49,1.36787,0.1024505,0,
0.204901,2.476135,20.49,1.36372,0.1024505,0,
0.204901,2.580571,20.49,1.37097,0.1024505,0,
0.204901,2.683182,20.49,1.3663,0.1024505,0,
0.204901,2.787356,20.49,1.36417,0.1024505,0,
0.204901,2.895706,20.49,1.36646,0.1024505,0,
0.204901,2.999685,20.49,1.36423,0.1024505,0,
0.225851,1.000589,22.59,1.40355,0.1129255,0,
0.225851,1.103366,22.59,1.39022,0.1129255,0,
0.225851,1.315086,22.59,1.37481,0.1129255,0,
0.225851,1.209432,22.59,1.38032,0.1129255,0,
0.225851,1.420821,22.59,1.37283,0.1129255,0,
0.225851,1.527817,22.59,1.36703,0.1129255,0,
0.225851,1.629998,22.59,1.37047,0.1129255,0,
0.225851,1.736917,22.59,1.36411,0.1129255,0,
0.225851,1.944981,22.59,1.36195,0.1129255,0,
0.225851,1.842592,22.59,1.3693,0.1129255,0,
0.225851,2.053198,22.59,1.35926,0.1129255,0,
0.225851,2.156161,22.59,1.36433,0.1129255,0,
0.225851,2.260869,22.59,1.36024,0.1129255,0,
0.225851,2.370784,22.59,1.36206,0.1129255,0,
0.225851,2.476135,22.59,1.35844,0.1129255,0,
0.225851,2.580571,22.59,1.36654,0.1129255,0,
0.225851,2.683182,22.59,1.36343,0.1129255,0,
0.225851,2.787356,22.59,1.36002,0.1129255,0,
0.225851,2.895706,22.59,1.3624,0.1129255,0,
0.225851,2.999685,22.59,1.35847,0.1129255,0,
0.247754,1.103366,24.78,1.39335,0.123877,0,
0.247754,1.315086,24.78,1.37498,0.123877,0,
0.247754,1.000589,24.78,1.40637,0.123877,0,
0.247754,1.209432,24.78,1.38351,0.123877,0,
0.247754,1.420821,24.78,1.37183,0.123877,0,
0.247754,1.527817,24.78,1.36589,0.123877,0,
0.247754,1.842592,24.78,1.36935,0.123877,0,
0.247754,1.736917,24.78,1.36312,0.123877,0,
0.247754,1.944981,24.78,1.36257,0.123877,0,
0.247754,1.629998,24.78,1.37269,0.123877,0,
0.247754,2.053198,24.78,1.35986,0.123877,0,
0.247754,2.156161,24.78,1.36691,0.123877,0,
0.247754,2.370784,24.78,1.36008,0.123877,0,
0.247754,2.260869,24.78,1.3607,0.123877,0,
0.247754,2.476135,24.78,1.35592,0.123877,0,
0.247754,2.580571,24.78,1.36597,0.123877,0,
0.247754,2.683182,24.78,1.35909,0.123877,0,
0.247754,2.787356,24.78,1.35733,0.123877,0,
0.247754,2.895706,24.78,1.3608,0.123877,0,
0.247754,2.999685,24.78,1.35722,0.123877,0,
0.268527,1.103366,26.85,1.40092,0.1342635,0,
0.268527,1.000589,26.85,1.41321,0.1342635,0,
0.268527,1.209432,26.85,1.38846,0.1342635,0,
0.268527,1.315086,26.85,1.38037,0.1342635,0,
0.268527,1.527817,26.85,1.37178,0.1342635,0,
0.268527,1.420821,26.85,1.37143,0.1342635,0,
0.268527,1.629998,26.85,1.36861,0.1342635,0,
0.268527,1.736917,26.85,1.36468,0.1342635,0,
0.268527,1.842592,26.85,1.36513,0.1342635,0,
0.268527,1.944981,26.85,1.35904,0.1342635,0,
0.268527,2.053198,26.85,1.36443,0.1342635,0,
0.268527,2.156161,26.85,1.35843,0.1342635,0,
0.268527,2.260869,26.85,1.36123,0.1342635,0,
0.268527,2.370784,26.85,1.35886,0.1342635,0,
0.268527,2.476135,26.85,1.35971,0.1342635,0,
0.268527,2.580571,26.85,1.36178,0.1342635,0,
0.268527,2.683182,26.85,1.35826,0.1342635,0,
0.268527,2.787356,26.85,1.36007,0.1342635,0,
0.268527,2.895706,26.85,1.3579,0.1342635,0,
0.268527,2.999685,26.85,1.36076,0.1342635,0,
0.289693,1.000589,28.97,1.43804,0.1448465,0,
0.289693,1.103366,28.97,1.41449,0.1448465,0,
0.289693,1.209432,28.97,1.4062,0.1448465,0,
0.289693,1.315086,28.97,1.39484,0.1448465,0,
0.289693,1.420821,28.97,1.38483,0.1448465,0,
0.289693,1.527817,28.97,1.38347,0.1448465,0,
0.289693,1.629998,28.97,1.37556,0.1448465,0,
0.289693,1.736917,28.97,1.38215,0.1448465,0,
0.289693,1.842592,28.97,1.3697,0.1448465,0,
0.289693,1.944981,28.97,1.3712,0.1448465,0,
0.289693,2.053198,28.97,1.37531,0.1448465,0,
0.289693,2.156161,28.97,1.37028,0.1448465,0,
0.289693,2.260869,28.97,1.37817,0.1448465,0,
0.289693,2.370784,28.97,1.3712,0.1448465,0,
0.289693,2.683182,28.97,1.37041,0.1448465,0,
0.289693,2.580571,28.97,1.36824,0.1448465,0,
0.289693,2.476135,28.97,1.37716,0.1448465,0,
0.289693,2.787356,28.97,1.37953,0.1448465,0,
0.289693,2.895706,28.97,1.36891,0.1448465,0,
0.289693,2.999685,28.97,1.3789,0.1448465,0,
0.310022,1.209432,31.0,1.41405,0.155011,0,
0.310022,1.103366,31.0,1.4277,0.155011,0,
0.310022,1.000589,31.0,1.45097,0.155011,0,
0.310022,1.315086,31.0,1.40474,0.155011,0,
0.310022,1.527817,31.0,1.39458,0.155011,0,
0.310022,1.420821,31.0,1.39944,0.155011,0,
0.310022,1.842592,31.0,1.3923,0.155011,0,
0.310022,1.629998,31.0,1.39546,0.155011,0,
0.310022,1.736917,31.0,1.39344,0.155011,0,
0.310022,1.944981,31.0,1.38835,0.155011,0,
0.310022,2.156161,31.0,1.38203,0.155011,0,
0.310022,2.053198,31.0,1.38538,0.155011,0,
0.310022,2.260869,31.0,1.38768,0.155011,0,
0.310022,2.476135,31.0,1.38514,0.155011,0,
0.310022,2.370784,31.0,1.38488,0.155011,0,
0.310022,2.580571,31.0,1.38811,0.155011,0,
0.310022,2.683182,31.0,1.38565,0.155011,0,
0.310022,2.787356,31.0,1.38798,0.155011,0,
0.310022,2.999685,31.0,1.38804,0.155011,0,
0.332074,1.000589,33.21,1.46922,0.166037,0,
0.310022,2.895706,31.0,1.38519,0.155011,0,
0.332074,1.103366,33.21,1.44848,0.166037,0,
0.332074,1.315086,33.21,1.42586,0.166037,0,
0.332074,1.209432,33.21,1.43522,0.166037,0,
0.332074,1.629998,33.21,1.40659,0.166037,0,
0.332074,1.527817,33.21,1.41118,0.166037,0,
0.332074,1.420821,33.21,1.41447,0.166037,0,
0.332074,1.736917,33.21,1.40542,0.166037,0,
0.332074,1.842592,33.21,1.40151,0.166037,0,
0.332074,1.944981,33.21,1.39969,0.166037,0,
0.332074,2.053198,33.21,1.40265,0.166037,0,
0.332074,2.156161,33.21,1.40056,0.166037,0,
0.332074,2.260869,33.21,1.40225,0.166037,0,
0.332074,2.370784,33.21,1.39879,0.166037,0,
0.332074,2.476135,33.21,1.40464,0.166037,0,
0.332074,2.580571,33.21,1.39807,0.166037,0,
0.332074,2.683182,33.21,1.39724,0.166037,0,
0.332074,2.787356,33.21,1.40015,0.166037,0,
0.332074,2.895706,33.21,1.39801,0.166037,0,
0.332074,2.999685,33.21,1.40018,0.166037,0,
0.352982,1.000589,35.3,1.49283,0.176491,0,
0.352982,1.103366,35.3,1.46612,0.176491,0,
0.352982,1.209432,35.3,1.45193,0.176491,0,
0.352982,1.315086,35.3,1.44121,0.176491,0,
0.352982,1.420821,35.3,1.4331,0.176491,0,
0.352982,1.527817,35.3,1.42888,0.176491,0,
0.352982,1.629998,35.3,1.42551,0.176491,0,
0.352982,1.736917,35.3,1.42037,0.176491,0,
0.352982,1.842592,35.3,1.42079,0.176491,0,
0.352982,1.944981,35.3,1.4195,0.176491,0,
0.352982,2.053198,35.3,1.41725,0.176491,0,
0.352982,2.156161,35.3,1.41767,0.176491,0,
0.352982,2.260869,35.3,1.41771,0.176491,0,
0.352982,2.370784,35.3,1.41636,0.176491,0,
0.352982,2.476135,35.3,1.41964,0.176491,0,
0.352982,2.580571,35.3,1.41524,0.176491,0,
0.352982,2.683182,35.3,1.41548,0.176491,0,
0.352982,2.787356,35.3,1.41225,0.176491,0,
0.352982,2.895706,35.3,1.41545,0.176491,0,
0.352982,2.999685,35.3,1.41635,0.176491,0,
0.373381,1.000589,37.34,1.50453,0.1866905,0,
0.373381,1.103366,37.34,1.48287,0.1866905,0,
0.373381,1.209432,37.34,1.46692,0.1866905,0,
0.373381,1.315086,37.34,1.45376,0.1866905,0,
0.373381,1.420821,37.34,1.45002,0.1866905,0,
0.373381,1.527817,37.34,1.4423,0.1866905,0,
0.373381,1.629998,37.34,1.43837,0.1866905,0,
0.373381,1.842592,37.34,1.43449,0.1866905,0,
0.373381,1.736917,37.34,1.43748,0.1866905,0,
0.373381,1.944981,37.34,1.43618,0.1866905,0,
0.373381,2.053198,37.34,1.4311,0.1866905,0,
0.373381,2.156161,37.34,1.43273,0.1866905,0,
0.373381,2.260869,37.34,1.42972,0.1866905,0,
0.373381,2.370784,37.34,1.43225,0.1866905,0,
0.373381,2.580571,37.34,1.43308,0.1866905,0,
0.373381,2.476135,37.34,1.42837,0.1866905,0,
0.373381,2.683182,37.34,1.43273,0.1866905,0,
0.373381,2.787356,37.34,1.42841,0.1866905,0,
0.373381,2.895706,37.34,1.43261,0.1866905,0,
0.373381,2.999685,37.34,1.42856,0.1866905,0,
0.394402,1.000589,39.44,1.53746,0.197201,0,
0.394402,1.103366,39.44,1.51062,0.197201,0,
0.394402,1.209432,39.44,1.4901,0.197201,0,
0.394402,1.315086,39.44,1.47971,0.197201,0,
0.394402,1.420821,39.44,1.47157,0.197201,0,
0.394402,1.527817,39.44,1.46585,0.197201,0,
0.394402,1.629998,39.44,1.46669,0.197201,0,
0.394402,1.736917,39.44,1.4588,0.197201,0,
0.394402,1.842592,39.44,1.46214,0.197201,0,
0.394402,1.944981,39.44,1.46033,0.197201,0,
0.394402,2.053198,39.44,1.45543,0.197201,0,
0.394402,2.156161,39.44,1.45944,0.197201,0,
0.394402,2.370784,39.44,1.45271,0.197201,0,
0.394402,2.260869,39.44,1.45112,0.197201,0,
0.394402,2.476135,39.44,1.45279,0.197201,0,
0.394402,2.580571,39.44,1.45861,0.197201,0,
0.394402,2.683182,39.44,1.45433,0.197201,0,
0.394402,2.787356,39.44,1.45235,0.197201,0,
0.394402,2.999685,39.44,1.45109,0.197201,0,
0.394402,2.895706,39.44,1.4532,0.197201,0,
0.415456,1.000589,41.55,1.57266,0.207728,0,
0.415456,1.103366,41.55,1.54825,0.207728,0,
0.415456,1.209432,41.55,1.52389,0.207728,0,
0.415456,1.315086,41.55,1.51462,0.207728,0,
0.415456,1.420821,41.55,1.50412,0.207728,0,
0.415456,1.527817,41.55,1.49759,0.207728,0,
0.415456,1.629998,41.55,1.49747,0.207728,0,
0.415456,1.736917,41.55,1.48936,0.207728,0,
0.415456,1.842592,41.55,1.49168,0.207728,0,
0.415456,1.944981,41.55,1.48542,0.207728,0,
0.415456,2.156161,41.55,1.48808,0.207728,0,
0.415456,2.053198,41.55,1.48579,0.207728,0,
0.415456,2.260869,41.55,1.48424,0.207728,0,
0.415456,2.370784,41.55,1.48395,0.207728,0,
0.415456,2.476135,41.55,1.48227,0.207728,0,
0.415456,2.580571,41.55,1.48436,0.207728,0,
0.415456,2.787356,41.55,1.48236,0.207728,0,
0.415456,2.683182,41.55,1.48084,0.207728,0,
0.415456,2.895706,41.55,1.48193,0.207728,0,
0.415456,2.999685,41.55,1.48406,0.207728,0,
0.436636,1.000589,43.66,1.60918,0.218318,0,
0.436636,1.315086,43.66,1.5439,0.218318,0,
0.436636,1.209432,43.66,1.55655,0.218318,0,
0.436636,1.103366,43.66,1.5791,0.218318,0,
0.436636,1.420821,43.66,1.53003,0.218318,0,
0.436636,1.527817,43.66,1.52758,0.218318,0,
0.436636,1.629998,43.66,1.52287,0.218318,0,
0.436636,1.736917,43.66,1.52131,0.218318,0,
0.436636,1.842592,43.66,1.51798,0.218318,0,
0.436636,1.944981,43.66,1.51155,0.218318,0,
0.436636,2.053198,43.66,1.51516,0.218318,0,
0.436636,2.156161,43.66,1.51152,0.218318,0,
0.436636,2.260869,43.66,1.512,0.218318,0,
0.436636,2.476135,43.66,1.51211,0.218318,0,
0.436636,2.370784,43.66,1.50865,0.218318,0,
0.436636,2.580571,43.66,1.50993,0.218318,0,
0.436636,2.787356,43.66,1.5139,0.218318,0,
0.436636,2.683182,43.66,1.50776,0.218318,0,
0.436636,2.895706,43.66,1.50742,0.218318,0,
0.436636,2.999685,43.66,1.51232,0.218318,0,
0.457921,1.000589,45.79,1.64369,0.2289605,0,
0.457921,1.103366,45.79,1.60861,0.2289605,0,
0.457921,1.209432,45.79,1.58983,0.2289605,0,
0.457921,1.315086,45.79,1.57261,0.2289605,0,
0.457921,1.420821,45.79,1.55844,0.2289605,0,
0.457921,1.527817,45.79,1.55559,0.2289605,0,
0.457921,1.736917,45.79,1.54912,0.2289605,0,
0.457921,1.629998,45.79,1.54795,0.2289605,0,
0.457921,1.842592,45.79,1.54155,0.2289605,0,
0.457921,1.944981,45.79,1.53975,0.2289605,0,
0.457921,2.053198,45.79,1.54124,0.2289605,0,
0.457921,2.260869,45.79,1.54139,0.2289605,0,
0.457921,2.156161,45.79,1.53731,0.2289605,0,
0.457921,2.370784,45.79,1.53578,0.2289605,0,
0.457921,2.476135,45.79,1.54173,0.2289605,0,
0.457921,2.580571,45.79,1.53666,0.2289605,0,
0.457921,2.683182,45.79,1.5352,0.2289605,0,
0.457921,2.787356,45.79,1.54094,0.2289605,0,
0.457921,2.895706,45.79,1.53406,0.2289605,0,
0.457921,2.999685,45.79,1.542,0.2289605,0,
0.478876,1.103366,47.89,1.63702,0.239438,0,
0.478876,1.000589,47.89,1.67361,0.239438,0,
0.478876,1.209432,47.89,1.61964,0.239438,0,
0.478876,1.315086,47.89,1.59848,0.239438,0,
