diameter,x_center,Re,Cd,channel_height,U_inlet,blockage_ratio,flow_regime
0.099868,1.103366,9.99,1.53735,2.0,0.001,0.049934,0
0.099868,1.315086,9.99,1.52938,2.0,0.001,0.049934,0
0.099868,1.209432,9.99,1.49884,2.0,0.001,0.049934,0
0.099868,1.420821,9.99,1.49569,2.0,0.001,0.049934,0
0.099868,1.527817,9.99,1.52538,2.0,0.001,0.049934,0
0.099868,1.000589,9.99,1.50819,2.0,0.001,0.049934,0
0.099868,1.629998,9.99,1.52239,2.0,0.001,0.049934,0
0.099868,2.053198,9.99,1.52123,2.0,0.001,0.049934,0
0.099868,1.944981,9.99,1.49168,2.0,0.001,0.049934,0
0.099868,2.156161,9.99,1.48454,2.0,0.001,0.049934,0
0.099868,1.842592,9.99,1.51942,2.0,0.001,0.049934,0
0.099868,1.736917,9.99,1.48661,2.0,0.001,0.049934,0
0.099868,2.260869,9.99,1.48439,2.0,0.001,0.049934,0
0.099868,2.370784,9.99,1.49004,2.0,0.001,0.049934,0
0.099868,2.476135,9.99,1.48363,2.0,0.001,0.049934,0
0.099868,2.683182,9.99,1.48884,2.0,0.001,0.049934,0
0.099868,2.580571,9.99,1.4844,2.0,0.001,0.049934,0
0.099868,2.787356,9.99,1.48459,2.0,0.001,0.049934,0
0.099868,2.895706,9.99,1.48994,2.0,0.001,0.049934,0
0.099868,2.999685,9.99,1.48562,2.0,0.001,0.049934,0
0.121527,1.209432,12.15,1.46196,2.0,0.001,0.0607635,0
0.121527,1.000589,12.15,1.45994,2.0,0.001,0.0607635,0
0.121527,1.103366,12.15,1.47109,2.0,0.001,0.0607635,0
0.121527,1.315086,12.15,1.46054,2.0,0.001,0.0607635,0
0.121527,1.420821,12.15,1.45526,2.0,0.001,0.0607635,0
0.121527,1.527817,12.15,1.45658,2.0,0.001,0.0607635,0
0.121527,1.629998,12.15,1.44204,2.0,0.001,0.0607635,0
0.121527,1.736917,12.15,1.43598,2.0,0.001,0.0607635,0
0.121527,1.842592,12.15,1.43888,2.0,0.001,0.0607635,0
0.121527,1.944981,12.15,1.43252,2.0,0.001,0.0607635,0
0.121527,2.053198,12.15,1.45273,2.0,0.001,0.0607635,0
0.121527,2.156161,12.15,1.436,2.0,0.001,0.0607635,0
0.121527,2.370784,12.15,1.44871,2.0,0.001,0.0607635,0
0.121527,2.260869,12.15,1.43123,2.0,0.001,0.0607635,0
0.121527,2.476135,12.15,1.42938,2.0,0.001,0.0607635,0
0.121527,2.580571,12.15,1.43692,2.0,0.001,0.0607635,0
0.121527,2.683182,12.15,1.43159,2.0,0.001,0.0607635,0
0.121527,2.787356,12.15,1.43358,2.0,0.001,0.0607635,0
0.121527,2.895706,12.15,1.4306,2.0,0.001,0.0607635,0
0.121527,2.999685,12.15,1.4341,2.0,0.001,0.0607635,0
0.142349,1.000589,14.23,1.44011,2.0,0.001,0.0711745,0
0.142349,1.103366,14.23,1.42257,2.0,0.001,0.0711745,0
0.142349,1.209432,14.23,1.42048,2.0,0.001,0.0711745,0
0.142349,1.527817,14.23,1.40829,2.0,0.001,0.0711745,0
0.142349,1.315086,14.23,1.41543,2.0,0.001,0.0711745,0
0.142349,1.420821,14.23,1.4141,2.0,0.001,0.0711745,0
0.142349,1.629998,14.23,1.40244,2.0,0.001,0.0711745,0
0.142349,1.736917,14.23,1.41407,2.0,0.001,0.0711745,0
0.142349,1.842592,14.23,1.40105,2.0,0.001,0.0711745,0
0.142349,2.053198,14.23,1.40212,2.0,0.001,0.0711745,0
0.142349,2.156161,14.23,1.39681,2.0,0.001,0.0711745,0
0.142349,1.944981,14.23,1.40983,2.0,0.001,0.0711745,0
0.142349,2.260869,14.23,1.40612,2.0,0.001,0.0711745,0
0.142349,2.370784,14.23,1.40687,2.0,0.001,0.0711745,0
0.142349,2.476135,14.23,1.408,2.0,0.001,0.0711745,0
0.142349,2.580571,14.23,1.39745,2.0,0.001,0.0711745,0
0.142349,2.683182,14.23,1.40581,2.0,0.001,0.0711745,0
0.142349,2.787356,14.23,1.40575,2.0,0.001,0.0711745,0
0.142349,2.895706,14.23,1.408,2.0,0.001,0.0711745,0
0.142349,2.999685,14.23,1.40632,2.0,0.001,0.0711745,0
0.163262,1.000589,16.33,1.43363,2.0,0.001,0.081631,0
0.163262,1.315086,16.33,1.39876,2.0,0.001,0.081631,0
0.163262,1.209432,16.33,1.40868,2.0,0.001,0.081631,0
0.163262,1.103366,16.33,1.41255,2.0,0.001,0.081631,0
0.163262,1.420821,16.33,1.398,2.0,0.001,0.081631,0
0.163262,1.527817,16.33,1.39402,2.0,0.001,0.081631,0
0.163262,1.629998,16.33,1.38854,2.0,0.001,0.081631,0
0.163262,1.736917,16.33,1.40285,2.0,0.001,0.081631,0
0.163262,1.944981,16.33,1.39199,2.0,0.001,0.081631,0
0.163262,1.842592,16.33,1.38594,2.0,0.001,0.081631,0
0.163262,2.053198,16.33,1.38938,2.0,0.001,0.081631,0
0.163262,2.156161,16.33,1.38519,2.0,0.001,0.081631,0
0.163262,2.260869,16.33,1.40137,2.0,0.001,0.081631,0
0.163262,2.370784,16.33,1.38984,2.0,0.001,0.081631,0
0.163262,2.580571,16.33,1.38375,2.0,0.001,0.081631,0
0.163262,2.683182,16.33,1.39147,2.0,0.001,0.081631,0
0.163262,2.476135,16.33,1.39803,2.0,0.001,0.081631,0
0.163262,2.787356,16.33,1.38988,2.0,0.001,0.081631,0
0.163262,2.895706,16.33,1.38988,2.0,0.001,0.081631,0
0.163262,2.999685,16.33,1.40097,2.0,0.001,0.081631,0
0.183848,1.000589,18.38,1.41451,2.0,0.001,0.091924,0
0.183848,1.315086,18.38,1.38833,2.0,0.001,0.091924,0
0.183848,1.103366,18.38,1.40235,2.0,0.001,0.091924,0
0.183848,1.209432,18.38,1.39791,2.0,0.001,0.091924,0
0.183848,1.420821,18.38,1.38627,2.0,0.001,0.091924,0
0.183848,1.527817,18.38,1.38278,2.0,0.001,0.091924,0
0.183848,1.629998,18.38,1.3756,2.0,0.001,0.091924,0
0.183848,1.842592,18.38,1.37257,2.0,0.001,0.091924,0
0.183848,1.944981,18.38,1.37835,2.0,0.001,0.091924,0
0.183848,1.736917,18.38,1.37902,2.0,0.001,0.091924,0
0.183848,2.053198,18.38,1.37661,2.0,0.001,0.091924,0
0.183848,2.156161,18.38,1.37675,2.0,0.001,0.091924,0
0.183848,2.260869,18.38,1.38095,2.0,0.001,0.091924,0
0.183848,2.370784,18.38,1.37723,2.0,0.001,0.091924,0
