diameter,x_center,Re,Cd
0.099868,1.103366,9.99,1.53735
0.099868,1.315086,9.99,1.52938
0.099868,1.209432,9.99,1.49884
0.099868,1.420821,9.99,1.49569
0.099868,1.527817,9.99,1.52538
0.099868,1.000589,9.99,1.50819
0.099868,1.629998,9.99,1.52239
0.099868,2.053198,9.99,1.52123
0.099868,1.944981,9.99,1.49168
0.099868,2.156161,9.99,1.48454
0.099868,1.842592,9.99,1.51942
0.099868,1.736917,9.99,1.48661
0.099868,2.260869,9.99,1.48439
0.099868,2.370784,9.99,1.49004
0.099868,2.476135,9.99,1.48363
0.099868,2.683182,9.99,1.48884
0.099868,2.580571,9.99,1.4844
0.099868,2.787356,9.99,1.48459
0.099868,2.895706,9.99,1.48994
0.099868,2.999685,9.99,1.48562
0.121527,1.209432,12.15,1.46196
0.121527,1.000589,12.15,1.45994
0.121527,1.103366,12.15,1.47109
0.121527,1.315086,12.15,1.46054
0.121527,1.420821,12.15,1.45526
0.121527,1.527817,12.15,1.45658
0.121527,1.629998,12.15,1.44204
0.121527,1.736917,12.15,1.43598
0.121527,1.842592,12.15,1.43888
0.121527,1.944981,12.15,1.43252
0.121527,2.053198,12.15,1.45273
0.121527,2.156161,12.15,1.436
0.121527,2.370784,12.15,1.44871
0.121527,2.260869,12.15,1.43123
0.121527,2.476135,12.15,1.42938
0.121527,2.580571,12.15,1.43692
0.121527,2.683182,12.15,1.43159
0.121527,2.787356,12.15,1.43358
0.121527,2.895706,12.15,1.4306
0.121527,2.999685,12.15,1.4341
0.142349,1.000589,14.23,1.44011
0.142349,1.103366,14.23,1.42257
0.142349,1.209432,14.23,1.42048
0.142349,1.527817,14.23,1.40829
0.142349,1.315086,14.23,1.41543
0.142349,1.420821,14.23,1.4141
0.142349,1.629998,14.23,1.40244
0.142349,1.736917,14.23,1.41407
0.142349,1.842592,14.23,1.40105
0.142349,2.053198,14.23,1.40212
0.142349,2.156161,14.23,1.39681
0.142349,1.944981,14.23,1.40983
0.142349,2.260869,14.23,1.40612
0.142349,2.370784,14.23,1.40687
0.142349,2.476135,14.23,1.408
0.142349,2.580571,14.23,1.39745
