diameter,x_center,U_inlet,Re,Cd
0.05,1.0,10.0,33333.333333333336,0.8931408
0.05,1.0,12.5,41666.666666666664,0.9011363840000001
0.05,1.0,15.0,50000.0,0.9011345777777778
0.05,1.0,17.5,58333.33333333333,0.9024663510204082
0.05,1.0,20.0,66666.66666666667,0.9047458
0.05,1.0,5.0,16666.666666666668,0.91072352
0.05,1.0,7.5,25000.0,0.89073664
0.05,1.332,10.0,33333.333333333336,0.9097208
0.05,1.332,12.5,41666.666666666664,0.917794816
0.05,1.332,15.0,50000.0,0.9177560888888889
0.05,1.332,17.5,58333.33333333333,0.9190713469387756
0.05,1.332,20.0,66666.66666666667,0.9213608000000001
0.05,1.332,5.0,16666.666666666668,0.9280550399999999
0.05,1.332,7.5,25000.0,0.9074194488888889
0.05,1.664,10.0,33333.333333333336,0.919772
0.05,1.664,12.5,41666.666666666664,0.92797952
0.05,1.664,15.0,50000.0,0.9279740444444444
0.05,1.664,17.5,58333.33333333333,0.9293257142857143
0.05,1.664,20.0,66666.66666666667,0.9316498
0.05,1.664,5.0,16666.666666666668,0.9375904
0.05,1.664,7.5,25000.0,0.9168456533333333
0.05,2.004,10.0,33333.333333333336,0.9002424
0.05,2.004,12.5,41666.666666666664,0.9082885119999999
0.05,2.004,15.0,50000.0,0.9082862222222222
0.05,2.004,17.5,58333.33333333333,0.9096108408163266
0.05,2.004,20.0,66666.66666666667,0.9118881999999999
0.05,2.004,5.0,16666.666666666668,0.91717216
0.05,2.004,7.5,25000.0,0.8980279466666666
0.05,2.332,10.0,33333.333333333336,0.9130112
0.05,2.332,12.5,41666.666666666664,0.921073664
0.05,2.332,15.0,50000.0,0.9210094222222223
0.05,2.332,17.5,58333.33333333333,0.9223100081632652
0.05,2.332,20.0,66666.66666666667,0.9245829999999999
0.05,2.332,5.0,16666.666666666668,0.9303350399999999
0.05,2.332,7.5,25000.0,0.9109084444444444
0.05,2.659,10.0,33333.333333333336,0.9463367999999999
0.05,2.659,12.5,41666.666666666664,0.9547827200000001
0.05,2.659,15.0,50000.0,0.9547808
0.05,2.659,17.5,58333.33333333333,0.9561850775510204
0.05,2.659,20.0,66666.66666666667,0.9585768
0.05,2.659,5.0,16666.666666666668,0.9644342399999999
0.05,2.659,7.5,25000.0,0.9435754666666666
0.05,2.998,10.0,33333.333333333336,0.8812424
0.05,2.998,12.5,41666.666666666664,0.889061888
0.05,2.998,15.0,50000.0,0.889013688888889
0.05,2.998,17.5,58333.33333333333,0.8902786612244897
0.05,2.998,20.0,66666.66666666667,0.8924836
0.05,2.998,5.0,16666.666666666668,0.89748704
0.05,2.998,7.5,25000.0,0.8788569599999999
0.099,1.0,10.0,66000.0,0.8757381818181817
0.099,1.0,12.5,82500.0,0.8836688161616162
0.099,1.0,15.0,99000.0,0.8837448260381593
0.099,1.0,17.5,115500.0,0.8850986270871984
0.099,1.0,20.0,132000.0,0.8873672727272727
0.099,1.0,5.0,33000.0,0.8925386666666666
0.099,1.0,7.5,49500.0,0.8732588103254769
0.099,1.332,10.0,66000.0,0.858410101010101
0.099,1.332,12.5,82500.0,0.8662184080808081
0.099,1.332,15.0,99000.0,0.866311290684624
0.099,1.332,17.5,115500.0,0.8676500185528756
0.099,1.332,20.0,132000.0,0.8698824242424242
0.099,1.332,5.0,33000.0,0.8745724444444444
0.099,1.332,7.5,49500.0,0.8559069809203143
0.099,1.664,10.0,66000.0,0.8341482828282828
0.099,1.664,12.5,82500.0,0.8417794585858586
0.099,1.664,15.0,99000.0,0.8419002469135801
0.099,1.664,17.5,115500.0,0.8432330488559059
0.099,1.664,20.0,132000.0,0.8454237373737373
0.099,1.664,5.0,33000.0,0.8495267878787878
0.099,1.664,7.5,49500.0,0.8316458810325477
0.099,2.004,10.0,66000.0,0.8500541414141414
0.099,2.004,12.5,82500.0,0.8577978181818181
0.099,2.004,15.0,99000.0,0.8579000673400673
0.099,2.004,17.5,115500.0,0.8592335765821479
0.099,2.004,20.0,132000.0,0.861450101010101
0.099,2.004,5.0,33000.0,0.8661016565656566
0.099,2.004,7.5,49500.0,0.8475474747474747
0.099,2.332,10.0,66000.0,0.8413402020202021
0.099,2.332,12.5,82500.0,0.8490087434343434
0.099,2.332,15.0,99000.0,0.8491052749719417
0.099,2.332,17.5,115500.0,0.8504305751391465
0.099,2.332,20.0,132000.0,0.8526323232323232
0.099,2.332,5.0,33000.0,0.8567848080808081
0.099,2.332,7.5,49500.0,0.8387979349046015
0.099,2.659,10.0,66000.0,0.8412824242424243
0.099,2.659,12.5,82500.0,0.8489991757575758
0.099,2.659,15.0,99000.0,0.8491331088664421
0.099,2.659,17.5,115500.0,0.8504834796949082
0.099,2.659,20.0,132000.0,0.8526987878787878
0.099,2.659,5.0,33000.0,0.8570008888888889
0.099,2.659,7.5,49500.0,0.8387375982042649
0.099,2.998,10.0,66000.0,0.856629898989899
0.099,2.998,12.5,82500.0,0.8644569212121213
0.099,2.998,15.0,99000.0,0.8645728395061727
0.099,2.998,17.5,115500.0,0.8659374149659863
0.099,2.998,20.0,132000.0,0.8681944444444444
0.099,2.998,5.0,33000.0,0.8723432727272726
0.099,2.998,7.5,49500.0,0.8540832323232322
0.149,1.0,10.0,99333.33333333333,0.9280692617449665
0.149,1.0,12.5,124166.66666666666,0.9369749476510068
0.149,1.0,15.0,149000.0,0.9380166442953021
0.149,1.0,17.5,173833.3333333333,0.9399575948500206
0.149,1.0,20.0,198666.66666666666,0.9422946308724833
0.149,1.0,5.0,49666.666666666664,0.9412789261744967
0.149,1.0,7.5,74500.0,0.9227602087994035
